"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000276189.1",0.553431904340536,1.01482071319161,0.577169974683266,1.75827010708329,0.0787015614402349,0.373511551497244
"ENSG00000162592.10",2.01039060872432,-0.177422719355011,0.332611910910434,-0.53342262719746,0.593741057700711,0.865460272726322
"ENSG00000235169.8",0,NA,NA,NA,NA,NA
"ENSG00000130764.10",0.308574422484675,0.0216350092802281,0.702837567399988,0.030782374596541,0.975443096793508,NA
"ENSG00000266075.2",0,NA,NA,NA,NA,NA
"ENSG00000272153.1",17.8523577439522,-0.298554044030582,0.124819753715448,-2.39188137409081,0.0167622591132776,0.15006090120025
"ENSG00000116198.13",0.12987982521793,-0.0778592458243054,1.42584989918944,-0.0546054994067514,0.956452757404851,NA
"ENSG00000169598.15",0,NA,NA,NA,NA,NA
"ENSG00000198912.11",0.0378785028966017,-0.0778506489717141,2.90766608466242,-0.0267742741789942,0.978639772091451,NA
"ENSG00000236423.6",0,NA,NA,NA,NA,NA
"ENSG00000233304.7",0,NA,NA,NA,NA,NA
"ENSG00000226374.3",0.0863879029155892,0.0216376721166494,1.66549568784192,0.0129917310951952,0.989634389935243,NA
"ENSG00000284668.2",0,NA,NA,NA,NA,NA
"ENSG00000284703.1",0,NA,NA,NA,NA,NA
"ENSG00000229280.1",0,NA,NA,NA,NA,NA
"ENSG00000235054.4",0,NA,NA,NA,NA,NA
"ENSG00000284694.1",0,NA,NA,NA,NA,NA
"ENSG00000227169.2",0,NA,NA,NA,NA,NA
"ENSG00000232596.3",0,NA,NA,NA,NA,NA
"ENSG00000196581.11",0,NA,NA,NA,NA,NA
"ENSG00000287586.1",0,NA,NA,NA,NA,NA
"ENSG00000284739.1",0,NA,NA,NA,NA,NA
"ENSG00000284674.1",0,NA,NA,NA,NA,NA
"ENSG00000231510.1",0,NA,NA,NA,NA,NA
"ENSG00000284616.1",0,NA,NA,NA,NA,NA
"ENSG00000284692.2",0,NA,NA,NA,NA,NA
"ENSG00000284666.1",0,NA,NA,NA,NA,NA
"ENSG00000260972.1",0.0476101421431946,-0.177349886761996,2.38178662323396,-0.0744608627120398,0.9406436817129,NA
"ENSG00000283356.1",0,NA,NA,NA,NA,NA
"ENSG00000236948.2",0,NA,NA,NA,NA,NA
"ENSG00000264341.1",0,NA,NA,NA,NA,NA
"ENSG00000264101.1",0,NA,NA,NA,NA,NA
"ENSG00000131697.18",0,NA,NA,NA,NA,NA
"ENSG00000069424.15",0.0331265583673539,0.121139832064159,2.93468496832229,0.0412786494536116,0.967073753828364,NA
"ENSG00000116254.18",0,NA,NA,NA,NA,NA
"ENSG00000285629.1",0,NA,NA,NA,NA,NA
"ENSG00000116251.11",0.181004922753254,-0.177356465606488,1.0492068337312,-0.169038610791136,0.865766271356416,NA
"ENSG00000226944.1",0.0360804497353612,-0.0778504450997736,2.93468496832229,-0.0265277009083123,0.97883643924044,NA
"ENSG00000158286.13",1.82513626261558,-0.418656582495714,0.326006283241597,-1.28419789438676,0.199072721765781,0.585311265605575
"ENSG00000116237.16",1.34623431711896,-0.747897316962649,0.404283072180131,-1.84993478190801,0.064322950025515,0.335338724752055
"ENSG00000225077.3",0.598585498819659,-0.355263356218758,0.567136611153739,-0.626415839203253,0.531042223102714,0.840225166077832
"ENSG00000173673.8",0,NA,NA,NA,NA,NA
"ENSG00000158292.7",0,NA,NA,NA,NA,NA
"ENSG00000097021.19",0.0360344753075853,-0.0778504450997737,2.93468496832229,-0.0265277009083123,0.97883643924044,NA
"ENSG00000271746.1",0,NA,NA,NA,NA,NA
"ENSG00000069812.11",0,NA,NA,NA,NA,NA
"ENSG00000187017.17",0.210237771823009,0.419619798576907,0.896201739772629,0.468220245458758,0.63962709564604,NA
"ENSG00000265392.1",0,NA,NA,NA,NA,NA
"ENSG00000231868.1",0,NA,NA,NA,NA,NA
"ENSG00000215788.10",0.0506523879986841,0.22063200716809,2.35277016884898,0.0937754184787321,0.925287558831662,NA
"ENSG00000171680.22",0,NA,NA,NA,NA,NA
"ENSG00000162408.11",0.0287284336488063,0.121139832064159,2.93468496832229,0.0412786494536115,0.967073753828364,NA
"ENSG00000253022.1",0,NA,NA,NA,NA,NA
"ENSG00000229519.2",0.0863743057442948,0.0216385036791097,1.88016499806736,0.0115088323106494,0.990817483095902,NA
"ENSG00000173662.21",0.122308860815635,-0.575338967121692,1.42828979223604,-0.402816690456756,0.687083081806642,NA
"ENSG00000204859.13",1.01803662205715,0.0539658364328171,0.470322993605423,0.114742075481199,0.90864956274201,0.972283008103047
"ENSG00000162413.16",0.435078952151652,0.61248370479135,0.646244001431035,0.947759210816771,0.343252049976134,0.728706194385671
"ENSG00000116273.6",0.0162022213077876,-0.177345369455206,2.93468496832229,-0.0604308030911378,0.951812526161153,NA
"ENSG00000041988.15",39.7874009635693,-0.120547098106876,0.08195284655186,-1.47093241026831,0.141309396623141,0.499258882179757
"ENSG00000007923.16",1.41569087310312,2.40780761731384,0.442963721673429,5.43567678232794,5.45888315033806e-08,3.87380988436795e-06
"ENSG00000228750.7",0,NA,NA,NA,NA,NA
"ENSG00000284744.1",0,NA,NA,NA,NA,NA
"ENSG00000237436.1",0,NA,NA,NA,NA,NA
"ENSG00000171735.19",0.0501323619336562,-0.177350046428703,2.35756719878852,-0.0752258711946102,0.940035000433235,NA
"ENSG00000227950.1",0,NA,NA,NA,NA,NA
"ENSG00000237365.1",0,NA,NA,NA,NA,NA
"ENSG00000207056.1",0,NA,NA,NA,NA,NA
"ENSG00000237402.1",0,NA,NA,NA,NA,NA
"ENSG00000237728.2",0,NA,NA,NA,NA,NA
"ENSG00000225126.1",0,NA,NA,NA,NA,NA
"ENSG00000270171.1",0,NA,NA,NA,NA,NA
"ENSG00000270035.1",0,NA,NA,NA,NA,NA
"ENSG00000269978.1",0,NA,NA,NA,NA,NA
"ENSG00000049245.13",0.0983516090652104,-0.276850889540716,1.46637646247806,-0.188799327202007,0.850250099174203,NA
"ENSG00000269925.1",0,NA,NA,NA,NA,NA
"ENSG00000049246.14",0.0380286890187552,-0.0778506682545521,2.90509754700676,-0.026797953251093,0.978620885702078,NA
"ENSG00000236266.1",6.30183387010006,-0.72369122931426,0.201136751447824,-3.59800595418282,0.000320666279655632,0.00787323663002584
"ENSG00000049247.13",27.7589930000785,-1.07443124861946,0.154632919704894,-6.94826981647851,3.69793249908915e-12,5.66270242426309e-10
"ENSG00000049249.8",0,NA,NA,NA,NA,NA
"ENSG00000270330.1",0,NA,NA,NA,NA,NA
"ENSG00000116288.13",0.172839861580251,-0.475844305079787,1.14975765738406,-0.413864871456855,0.678973071720345,NA
